station_name,latitude,longitude
Agra Fort,27.1828667,78.0185074
AHIRAULI,27.3032083,83.0399302
Aishbagh,26.837359,80.9097954
Ait,25.9028963,79.2296205
Ajgain,26.6173636,80.6213497
Aligarh Jn,27.8888068,78.0747358
Amausi,26.7742875,80.8414257
Ambala Cant Jn,30.3382427,76.8286956
Amethi,26.1528737,81.8061035
Amroha,28.8922129,78.4744272
ANAND NAGAR,19.2572087,72.8663486
Araul Makanpur,26.92116017,80.01834286
Ataria,27.1727241,80.861014
Atarra,25.2907404,80.5769711
Aunrihar Jn,25.5451326,83.1876447
Babhnan,26.9377823,82.501874
Bachhrawan,26.4766008,81.1049522
Bachwara Jn,25.5836747,85.8986798
BADHARI KALAN,27.796296,78.7371459
Badshahnagar,26.8687658,80.9613569
Badshahpur,25.6529101,82.1908879
BAHELIA BUZURG,28.0377862,80.5334207
Baheri,28.7781228,79.500543
BAKOTHIKHAS,26.88094228,80.03693474
BAKSHI KA TALAB,26.986801,80.9216781
Balamu Jn,27.16804812,80.35317419
Balharshah,19.8499139,79.3478101
Ballupur,27.5871748,79.1416624
Balrampur,27.4156351,82.1609777
BANARAS,25.299243,82.9710513
Banda Jn,18.8846814,84.580355
Bangarapet,13.026009,77.6016293
BANKE GANJ,28.14389802,80.43813307
Barabanki Jn,26.9340514,81.1787492
Barai Jalalpur,27.4509558,80.7986302
Barauni Jn,25.4629595,85.9879088
Bareilly,28.3381037,79.4102663
Bareilly City,28.3562014,79.4031723
Barhni,27.4956455,82.7916397
Barrajpur,26.6858612,80.1389772
Basi Kiratpur,29.4969771,78.2134022
Basti,26.8153868,82.7698883
Belthara Road,26.1207542,83.8413367
Bhadohi,25.3949665,82.5587121
Bharthana,26.7933523,79.2309636
Bharwa Sumerpur,25.8271085,80.168624
BHATASA,27.5040516,79.3848969
Bhatni Jn,26.3815594,83.9333475
Bhatpar Rani,26.3098091,84.032329
Bhawanipur Kaln,27.34999624,82.08297489
Bhojipura Jn,28.49336056,79.44792153
Bhopal  Jn,23.2664845,77.4130845
Bhurjiha Baragn,27.6318316,80.7254619
Bhusaval Jn,21.0472554,75.7880594
Bijnor,29.3856828,78.1467987
Bilhaur,26.8396567,80.0606352
BINDAURA,27.0212838,81.325544
BRIDGMANGANJ,27.19931735,83.19726979
Burhwal,27.0862188,81.3896582
C Shivaji Mah T,18.94021962,72.83638691
Campierganj,27.0251542,83.2662018
Chand Siau,29.13301262,78.27759734
Chandausi Jn,28.4595055,78.7783211
Chandigarh,30.7021622,76.8214533
CHAUBEPUR,25.1207068,80.7807056
Chauri Chaura,26.645012,83.5873104
Chhapra,25.7872602,84.7250566
CHILHIA,27.3467476,82.9961001
Chirgaon,25.5754124,78.8067147
Chitrakutdham K,25.21768862,80.92324819
Chowka Ghat,27.1004629,81.449371
Colonelganj,27.137692,81.6936621
Dadar,19.0192269,72.8428479
Daliganj,26.8753418,80.9275723
Dalsingh Sarai,25.6650421,85.841369
DARYAOGONJ,27.5981345,79.0827778
Dehradun,30.3124776,78.0334708
DEOKALI,27.9771663,80.7075625
Deoria Sadar,26.5079698,83.7819579
Dhampur,29.305732,78.5021532
DHAURSALAR,26.79311962,80.08403266
Dholi,25.9766488,85.5648708
Dighwara,25.744143,85.0038765
Domingarh,26.7650299,83.3412763
Dullahapur,25.8000194,83.4232861
Ekma,25.9665053,84.5367545
Etawah Jn,26.7869304,79.0209359
Farrukhabad,27.3824969,79.5716105
Fatehgarh,27.3700748,79.620752
Firozabad,27.1478821,78.3863833
Gainjahwa,27.4540622,82.2452253
Gainsari Jn,27.5271027,82.5470614
Gajraula Jn,28.8348503,78.250401
GANGAWAPUR HALT,26.95830828,79.99919246
Ganj Dundwara,27.7262138,78.9388293
Garhi Manikpur,25.7766741,81.4144936
GARKHA,27.7481566,78.8832733
Gauri Bazar,26.5948552,83.6680744
Gauriganj,26.2039462,81.6863007
Ghaghara Chat,27.10239759,81.50346122
Ghatampur,26.1514824,80.1746452
Ghaziabad,28.6725546,77.4137315
Gola Gokaranath,28.07715244,80.46330474
Gomati Nagar,14.4293196,79.9922215
Gonda Jn,27.1545673,81.9773841
Gonda Kachahri,27.1402722,81.9341452
Gorakhpur Cant,26.7510892,83.4185338
Gorakhpur Jn,26.7604641,83.3798194
Govindpuri,26.4536771,80.312879
Gursahaiganj,27.1180386,79.7334274
Guru Gorakhnath Dham,30.11647015,76.66745811
Hajipur Jn,25.7019167,85.2149445
Haldaur,29.2905756,78.2751387
Haldwani,29.2157328,79.5334253
Hamirpur Road,26.0161792,80.1903462
Hapur,28.739239,77.7787139
Harauni,26.7063431,80.747885
Harchandpur,26.3459266,81.1592191
Hardoi,27.4000849,80.1475002
Hargaon,27.7722395,80.7283694
Haridwar Jn,29.94607186,78.15291591
Harsingpur Goba,27.4301308,79.4986251
Hathras Jn,27.6245866,78.1372829
Igatpuri,19.6944394,73.5638878
Indara Jn,25.9875451,83.6198284
Intiyathok,27.2934442,82.0359486
Itarsi Jn,22.6085628,77.76707
ITAUNJA,27.0777934,80.8929942
Izzatnagar,28.3888272,79.4211222
Jabalpur,23.1649733,79.951231
Jagadhri Wshop,30.13575586,77.24258526
Jagatbela,26.7715822,83.2793365
Jahangirabad Rj,26.9741485,81.2475655
Jaitipur,26.6633215,80.6890713
Jaitwar,24.7406635,80.863688
Jakhanian,25.7409372,83.3696639
Janghai Jn,25.5500475,82.3100813
Jarwal Road,27.1206715,81.5403893
JASODA,27.0838113,79.8191801
Jaunpur City,25.7337408,82.6669239
JHAREKAPUR,27.6752002,80.728704
JHARKHANDI,27.4332104,82.1803705
Jhinjhak,26.5548037,79.7346485
Jlalpr Panwara,27.08383563,79.82075554
Jolarpettai,12.5639905,78.5783902
Jugaur,26.8815593,81.0888944
Jukehi,23.9858153,80.4324882
KADIPUR SANI HA,27.86373591,80.78027909
Kaimganj,27.53993,79.3284276
Kalianpur,26.5032517,80.2526863
Kalpi,26.1200627,79.7560895
Kalyan Jn,17.4442963,78.4331967
Kamalganj,27.2586871,79.630341
KAMLAPUR,27.3814955,80.8223749
Kampil Road,27.568965,79.2594763
Kannauj,27.0281287,79.9249069
Kannauj City,27.04368095,79.90410057
Kanpur Anwrganj,26.45591032,80.32901931
Kanpur Bge L Bk,26.45591032,80.32901931
Kanpur Central,26.4538613,80.3512433
Kasganj,27.801985,78.6461269
KASTURI,27.1407595,81.7519007
Kathgodam,29.266646,79.5466346
KATHOLA,27.1437209,81.8713886
Katni,23.8347633,80.4006981
Katpadi Jn,12.9721529,79.1376369
